"Pair","Spearman_Correlation"
"GAm_Bottom.Temp.Winter",0.0565217391304348
"GAm_Mixed.Layer.Fall",0.115652173913043
"GAm_Mixed.Layer.Spring",0.0173913043478261
"GAm_Mixed.Layer.Summer",-0.359130434782609
"GAm_Mixed.Layer.Winter",0.00173913043478261
"GAm_Salinity.Fall",0.256521739130435
"GAm_Salinity.Spring",-0.219130434782609
"GAm_Salinity.Summer",-0.0643478260869565
"GAm_Salinity.Winter",0.0521739130434783
"GAm_SSH.Fall",-0.0217391304347826
"GAm_SSH.Spring",0.323478260869565
"GAm_SSH.Summer",0.412173913043478
"GAm_SSH.Winter",0.156521739130435
"GAm_SST.Fall",-0.22695652173913
"GAm_SST.Spring",-0.334782608695652
"GAm_SST.Summer",0.173913043478261
"GAm_SST.Winter",-0.0617391304347826
"GAm_ChlGlob50.Fall",-0.16140350877193
"GAm_ChlGlob50.Spring",-0.126315789473684
"GAm_ChlGlob50.Summer",-0.349122807017544
"GAm_ChlGlob50.Winter",-0.171929824561404
"GAm_ChlModis15.Fall",-0.591208791208791
"GAm_ChlModis15.Spring",-0.257142857142857
"GAm_ChlModis15.Summer",-0.151648351648352
"GAm_ChlModis15.Winter",-0.367032967032967
"GAm_ChlModis50.Fall",-0.551648351648352
"GAm_ChlModis50.Spring",-0.213186813186813
"GAm_ChlModis50.Summer",-0.70989010989011
"GAm_ChlModis50.Winter",-0.195604395604396
"GAm_deepGulf.Fall",0.213913043478261
"GAm_deepGulf.Spring",-0.0721739130434783
"GAm_deepGulf.Summer",-0.244347826086956
"GAm_deepGulf.Winter",-0.155652173913043
"GAm_surfGulf.Fall",0.454782608695652
"GAm_surfGulf.Spring",0.159130434782609
"GAm_surfGulf.Summer",-0.292173913043478
"GAm_surfGulf.Winter",-0.031304347826087
"GTr_Bottom.Temp.Fall",-0.0350649350649351
"GTr_Bottom.Temp.Spring",-0.149350649350649
"GTr_Bottom.Temp.Summer",-0.103896103896104
"GTr_Bottom.Temp.Winter",0.0025974025974026
"GTr_Mixed.Layer.Fall",0.431168831168831
"GTr_Mixed.Layer.Spring",-0.0337662337662338
"GTr_Mixed.Layer.Summer",-0.241558441558442
"GTr_Mixed.Layer.Winter",0.338961038961039
"GTr_Salinity.Fall",0.37012987012987
"GTr_Salinity.Spring",-0.0337662337662338
"GTr_Salinity.Summer",0.335064935064935
"GTr_Salinity.Winter",0.309090909090909
"GTr_SSH.Fall",0.523376623376623
"GTr_SSH.Spring",-0.0155844155844156
"GTr_SSH.Summer",0.25974025974026
"GTr_SSH.Winter",0.381818181818182
"GTr_SST.Fall",-0.0675324675324675
"GTr_SST.Spring",0.0272727272727273
"GTr_SST.Summer",0.0805194805194805
"GTr_SST.Winter",0.0311688311688312
"GTr_ChlGlob50.Fall",-0.141176470588235
"GTr_ChlGlob50.Spring",-0.220588235294118
"GTr_ChlGlob50.Summer",-0.476470588235294
"GTr_ChlGlob50.Winter",-0.317647058823529
"GTr_ChlModis15.Fall",-0.5
"GTr_ChlModis15.Spring",-0.181818181818182
"GTr_ChlModis15.Summer",-0.263636363636364
"GTr_ChlModis15.Winter",-0.563636363636364
"GTr_ChlModis50.Fall",-0.209090909090909
"GTr_ChlModis50.Spring",0.0636363636363636
"GTr_ChlModis50.Summer",-0.372727272727273
"GTr_ChlModis50.Winter",0.0272727272727273
"GTr_deepGulf.Fall",-0.122077922077922
"GTr_deepGulf.Spring",0.198701298701299
"GTr_deepGulf.Summer",-0.218181818181818
"GTr_deepGulf.Winter",0.0038961038961039
"GTr_surfGulf.Fall",0.0961038961038961
"GTr_surfGulf.Spring",-0.297402597402597
"GTr_surfGulf.Summer",-0.164935064935065
"GTr_surfGulf.Winter",-0.0454545454545455
"RPo_Bottom.Temp.Fall",0.0182608695652174
"RPo_Bottom.Temp.Spring",-0.517391304347826
"RPo_Bottom.Temp.Summer",-0.18695652173913
"RPo_Bottom.Temp.Winter",-0.525217391304348
"RPo_Mixed.Layer.Fall",-0.158260869565217
"RPo_Mixed.Layer.Spring",-0.201739130434783
"RPo_Mixed.Layer.Summer",-0.29304347826087
"RPo_Mixed.Layer.Winter",0.0695652173913043
"RPo_Salinity.Fall",-0.190434782608696
"RPo_Salinity.Spring",-0.0452173913043478
"RPo_Salinity.Summer",-0.264347826086957
"RPo_Salinity.Winter",0.0156521739130435
"RPo_SSH.Fall",-0.25304347826087
"RPo_SSH.Spring",-0.621739130434782
"RPo_SSH.Summer",-0.276521739130435
"RPo_SSH.Winter",-0.273913043478261
"RPo_SST.Fall",-0.0782608695652174
"RPo_SST.Spring",-0.273913043478261
"RPo_SST.Summer",-0.151304347826087
"RPo_SST.Winter",-0.358260869565217
"RPo_ChlGlob50.Fall",0.0649122807017544
"RPo_ChlGlob50.Spring",0.442105263157895
"RPo_ChlGlob50.Summer",-0.196491228070175
"RPo_ChlGlob50.Winter",0.22280701754386
"RPo_ChlModis15.Fall",0.173626373626374
"RPo_ChlModis15.Spring",0.314285714285714
"RPo_ChlModis15.Summer",0.208791208791209
"RPo_ChlModis15.Winter",0.393406593406593
"RPo_ChlModis50.Fall",0.16043956043956
"RPo_ChlModis50.Spring",0.745054945054945
"RPo_ChlModis50.Summer",-0.010989010989011
"RPo_ChlModis50.Winter",0.569230769230769
"RPo_deepGulf.Fall",0.0747826086956522
"RPo_deepGulf.Spring",0.115652173913043
"RPo_deepGulf.Summer",0.028695652173913
"RPo_deepGulf.Winter",0.33304347826087
"RPo_surfGulf.Fall",0.237391304347826
"RPo_surfGulf.Spring",-0.285217391304348
"RPo_surfGulf.Summer",-0.0539130434782609
"RPo_surfGulf.Winter",0.119130434782609
"RGr_Bottom.Temp.Fall",0.124542124542125
"RGr_Bottom.Temp.Spring",0.043956043956044
"RGr_Bottom.Temp.Summer",0.0299145299145299
"RGr_Bottom.Temp.Winter",0.0195360195360195
"RGr_Mixed.Layer.Fall",0.22954822954823
"RGr_Mixed.Layer.Spring",0.147741147741148
"RGr_Mixed.Layer.Summer",0.233821733821734
"RGr_Mixed.Layer.Winter",0.25030525030525
"RGr_Salinity.Fall",0.0915750915750916
"RGr_Salinity.Spring",0.196581196581197
"RGr_Salinity.Summer",-0.134920634920635
"RGr_Salinity.Winter",0.0958485958485958
"RGr_SSH.Fall",-0.313186813186813
"RGr_SSH.Spring",-0.36996336996337
"RGr_SSH.Summer",-0.228937728937729
"RGr_SSH.Winter",-0.398656898656899
"RGr_SST.Fall",0.126984126984127
"RGr_SST.Spring",0.177045177045177
"RGr_SST.Summer",-0.181929181929182
"RGr_SST.Winter",0.0555555555555556
"RGr_ChlGlob50.Fall",-0.468097120271033
"RGr_ChlGlob50.Spring",0.125917560700169
"RGr_ChlGlob50.Summer",-0.113495200451722
"RGr_ChlGlob50.Winter",0.0062111801242236
"RGr_ChlModis15.Fall",-0.0196078431372549
"RGr_ChlModis15.Spring",0.220588235294118
"RGr_ChlModis15.Summer",0.154411764705882
"RGr_ChlModis15.Winter",0.0147058823529412
"RGr_ChlModis50.Fall",-0.237745098039216
"RGr_ChlModis50.Spring",0.431372549019608
"RGr_ChlModis50.Summer",0
"RGr_ChlModis50.Winter",0.161764705882353
"RGr_deepGulf.Fall",0.0335775335775336
"RGr_deepGulf.Spring",0.194139194139194
"RGr_deepGulf.Summer",0.144078144078144
"RGr_deepGulf.Winter",0.336385836385836
"RGr_surfGulf.Fall",-0.0726495726495726
"RGr_surfGulf.Spring",-0.0634920634920635
"RGr_surfGulf.Summer",0.0848595848595848
"RGr_surfGulf.Winter",-0.00183150183150183
"BSB_Bottom.Temp.Fall",-0.252173913043478
"BSB_Bottom.Temp.Spring",-0.19304347826087
"BSB_Bottom.Temp.Summer",-0.248695652173913
"BSB_Bottom.Temp.Winter",-0.188695652173913
"BSB_Mixed.Layer.Fall",0.267826086956522
"BSB_Mixed.Layer.Spring",0.0391304347826087
"BSB_Mixed.Layer.Summer",-0.461739130434783
"BSB_Mixed.Layer.Winter",0.186086956521739
"BSB_Salinity.Fall",0.259130434782609
"BSB_Salinity.Spring",0.2
"BSB_Salinity.Summer",0.0765217391304348
"BSB_Salinity.Winter",0.185217391304348
"BSB_SSH.Fall",-0.317391304347826
"BSB_SSH.Spring",-0.333913043478261
"BSB_SSH.Summer",-0.0991304347826087
"BSB_SSH.Winter",-0.328695652173913
"BSB_SST.Fall",-0.212173913043478
"BSB_SST.Spring",-0.309565217391304
"BSB_SST.Summer",0.0243478260869565
"BSB_SST.Winter",-0.158260869565217
"BSB_ChlGlob50.Fall",-0.0631578947368421
"BSB_ChlGlob50.Spring",0.415789473684211
"BSB_ChlGlob50.Summer",-0.114035087719298
"BSB_ChlGlob50.Winter",0.394736842105263
"BSB_ChlModis15.Fall",-0.208791208791209
"BSB_ChlModis15.Spring",0.16043956043956
"BSB_ChlModis15.Summer",0.116483516483516
"BSB_ChlModis15.Winter",-0.120879120879121
"BSB_ChlModis50.Fall",-0.367032967032967
"BSB_ChlModis50.Spring",0.626373626373626
"BSB_ChlModis50.Summer",-0.103296703296703
"BSB_ChlModis50.Winter",0.424175824175824
"BSB_deepGulf.Fall",0.265217391304348
"BSB_deepGulf.Spring",0.283478260869565
"BSB_deepGulf.Summer",0.0295652173913043
"BSB_deepGulf.Winter",0.404347826086956
"BSB_surfGulf.Fall",0.0634782608695652
"BSB_surfGulf.Spring",0.0739130434782609
"BSB_surfGulf.Summer",-0.56
"BSB_surfGulf.Winter",-0.277391304347826
"RSn_Bottom.Temp.Fall",0.123418803418803
"RSn_Bottom.Temp.Spring",0.247863247863248
"RSn_Bottom.Temp.Summer",0.37025641025641
"RSn_Bottom.Temp.Winter",0.325811965811966
"RSn_Mixed.Layer.Fall",-0.146666666666667
"RSn_Mixed.Layer.Spring",0.0851282051282051
"RSn_Mixed.Layer.Summer",0.102222222222222
"RSn_Mixed.Layer.Winter",-0.223247863247863
"RSn_Salinity.Fall",-0.0222222222222222
"RSn_Salinity.Spring",-0.0564102564102564
"RSn_Salinity.Summer",0.00717948717948718
"RSn_Salinity.Winter",-0.0393162393162393
"RSn_SSH.Fall",0.114529914529915
"RSn_SSH.Spring",0.431794871794872
"RSn_SSH.Summer",0.208888888888889
"RSn_SSH.Winter",0.513846153846154
"RSn_SST.Fall",0.106324786324786
"RSn_SST.Spring",-0.0297435897435897
"RSn_SST.Summer",0.512478632478632
"RSn_SST.Winter",0.15965811965812
"RSn_ChlGlob50.Fall",0.0961038961038961
"RSn_ChlGlob50.Spring",-0.181818181818182
"RSn_ChlGlob50.Summer",-0.0376623376623377
"RSn_ChlGlob50.Winter",-0.248051948051948
"RSn_ChlModis15.Fall",-0.0441176470588235
"RSn_ChlModis15.Spring",0.197058823529412
"RSn_ChlModis15.Summer",-0.108823529411765
"RSn_ChlModis15.Winter",0.0588235294117647
"RSn_ChlModis50.Fall",-0.0735294117647059
"RSn_ChlModis50.Spring",-0.323529411764706
"RSn_ChlModis50.Summer",-0.252941176470588
"RSn_ChlModis50.Winter",-0.247058823529412
"RSn_deepGulf.Fall",-0.027008547008547
"RSn_deepGulf.Spring",-0.280683760683761
"RSn_deepGulf.Summer",-0.234871794871795
"RSn_deepGulf.Winter",-0.632820512820513
"RSn_surfGulf.Fall",0.138461538461538
"RSn_surfGulf.Spring",0.40991452991453
"RSn_surfGulf.Summer",-0.00581196581196581
"RSn_surfGulf.Winter",-0.0147008547008547
"Sca_Bottom.Temp.Fall",-0.0878632478632479
"Sca_Bottom.Temp.Spring",-0.0981196581196581
"Sca_Bottom.Temp.Summer",-0.0652991452991453
"Sca_Bottom.Temp.Winter",-0.00923076923076923
"Sca_Mixed.Layer.Fall",0.164444444444444
"Sca_Mixed.Layer.Spring",0.330598290598291
"Sca_Mixed.Layer.Summer",0.137777777777778
"Sca_Mixed.Layer.Winter",0.308717948717949
"Sca_Salinity.Fall",0.131623931623932
"Sca_Salinity.Spring",0.308717948717949
"Sca_Salinity.Summer",-0.258803418803419
"Sca_Salinity.Winter",0.263589743589744
"Sca_SSH.Fall",-0.37025641025641
"Sca_SSH.Spring",-0.422905982905983
"Sca_SSH.Summer",-0.413333333333333
"Sca_SSH.Winter",-0.360683760683761
"Sca_SST.Fall",-0.0345299145299145
"Sca_SST.Spring",-0.134358974358974
"Sca_SST.Summer",-0.195897435897436
"Sca_SST.Winter",0.148717948717949
"Sca_ChlGlob50.Fall",-0.393506493506494
"Sca_ChlGlob50.Spring",-0.102597402597403
"Sca_ChlGlob50.Summer",-0.212987012987013
"Sca_ChlGlob50.Winter",-0.142857142857143
"Sca_ChlModis15.Fall",0.197058823529412
"Sca_ChlModis15.Spring",-0.0676470588235294
"Sca_ChlModis15.Summer",0.4
"Sca_ChlModis15.Winter",0.117647058823529
"Sca_ChlModis50.Fall",0.214705882352941
"Sca_ChlModis50.Spring",0.232352941176471
"Sca_ChlModis50.Summer",0.0147058823529412
"Sca_ChlModis50.Winter",0.197058823529412
"Sca_deepGulf.Fall",0.261538461538461
"Sca_deepGulf.Spring",0.333333333333333
"Sca_deepGulf.Summer",0.405811965811966
"Sca_deepGulf.Winter",0.342222222222222
"Sca_surfGulf.Fall",0.068034188034188
"Sca_surfGulf.Spring",-0.324444444444444
"Sca_surfGulf.Summer",0.140512820512821
"Sca_surfGulf.Winter",-0.12957264957265
"Sno_Bottom.Temp.Fall",0.2
"Sno_Bottom.Temp.Spring",-0.000869565217391304
"Sno_Bottom.Temp.Summer",0.0834782608695652
"Sno_Bottom.Temp.Winter",0.222608695652174
"Sno_Mixed.Layer.Fall",0.156521739130435
"Sno_Mixed.Layer.Spring",0.291304347826087
"Sno_Mixed.Layer.Summer",0.25304347826087
"Sno_Mixed.Layer.Winter",0.396521739130435
"Sno_Salinity.Fall",0.120869565217391
"Sno_Salinity.Spring",0.364347826086956
"Sno_Salinity.Summer",-0.0130434782608696
"Sno_Salinity.Winter",0.323478260869565
"Sno_SSH.Fall",-0.103478260869565
"Sno_SSH.Spring",-0.440869565217391
"Sno_SSH.Summer",-0.235652173913043
"Sno_SSH.Winter",-0.238260869565217
"Sno_SST.Fall",0.208695652173913
"Sno_SST.Spring",-0.00173913043478261
"Sno_SST.Summer",-0.0234782608695652
"Sno_SST.Winter",0.294782608695652
"Sno_ChlGlob50.Fall",-0.450877192982456
"Sno_ChlGlob50.Spring",0.0614035087719298
"Sno_ChlGlob50.Summer",-0.18421052631579
"Sno_ChlGlob50.Winter",-0.119298245614035
"Sno_ChlModis15.Fall",0.314285714285714
"Sno_ChlModis15.Spring",0.261538461538461
"Sno_ChlModis15.Summer",0.257142857142857
"Sno_ChlModis15.Winter",0.428571428571429
"Sno_ChlModis50.Fall",-0.00659340659340659
"Sno_ChlModis50.Spring",0.305494505494505
"Sno_ChlModis50.Summer",0.0549450549450549
"Sno_ChlModis50.Winter",0.468131868131868
"Sno_deepGulf.Fall",-0.02
"Sno_deepGulf.Spring",0.22695652173913
"Sno_deepGulf.Summer",0.199130434782609
"Sno_deepGulf.Winter",0.240869565217391
"Sno_surfGulf.Fall",0.00695652173913043
"Sno_surfGulf.Spring",-0.191304347826087
"Sno_surfGulf.Summer",0.0713043478260869
"Sno_surfGulf.Winter",-0.2
"Ver_Bottom.Temp.Fall",0.024703557312253
"Ver_Bottom.Temp.Spring",0.0177865612648221
"Ver_Bottom.Temp.Summer",0.374505928853755
"Ver_Bottom.Temp.Winter",0.25098814229249
"Ver_Mixed.Layer.Fall",0.0345849802371542
"Ver_Mixed.Layer.Spring",0.16798418972332
"Ver_Mixed.Layer.Summer",0.295454545454545
"Ver_Mixed.Layer.Winter",-0.16501976284585
"Ver_Salinity.Fall",0.0484189723320158
"Ver_Salinity.Spring",0.0711462450592885
"Ver_Salinity.Summer",-0.146245059288538
"Ver_Salinity.Winter",-0.178853754940711
"Ver_SSH.Fall",-0.301383399209486
"Ver_SSH.Spring",-0.119565217391304
"Ver_SSH.Summer",-0.0227272727272727
"Ver_SSH.Winter",0.0464426877470356
"Ver_SST.Fall",-0.0770750988142292
"Ver_SST.Spring",-0.400197628458498
"Ver_SST.Summer",0.477272727272727
"Ver_SST.Winter",0.08300395256917
"Ver_ChlGlob50.Fall",-0.135190918472652
"Ver_ChlGlob50.Spring",-0.0196078431372549
"Ver_ChlGlob50.Summer",-0.294117647058824
"Ver_ChlGlob50.Winter",-0.12280701754386
"Ver_ChlModis15.Fall",0.0879120879120879
"Ver_ChlModis15.Spring",0.318681318681319
"Ver_ChlModis15.Summer",-0.362637362637363
"Ver_ChlModis15.Winter",0.0659340659340659
"Ver_ChlModis50.Fall",-0.032967032967033
"Ver_ChlModis50.Spring",-0.230769230769231
"Ver_ChlModis50.Summer",-0.576923076923077
"Ver_ChlModis50.Winter",0.0714285714285714
"Ver_deepGulf.Fall",0.108695652173913
"Ver_deepGulf.Spring",-0.102766798418972
"Ver_deepGulf.Summer",0.0474308300395257
"Ver_deepGulf.Winter",-0.459486166007905
"Ver_surfGulf.Fall",0.121541501976285
"Ver_surfGulf.Spring",0.234189723320158
"Ver_surfGulf.Summer",-0.0889328063241107
"Ver_surfGulf.Winter",-0.0276679841897233
