YEAR,ANNUAL_0_25,WINTER_0_25,SPRING_0_25,SUMMER_0_25,FALL_0_25,ANNUAL_20_50,WINTER_20_50,SPRING_20_50,SUMMER_20_50,FALL_20_50,ANNUAL_50_200,WINTER_50_200,SPRING_50_200,SUMMER_50_200,FALL_50_200,ANNUAL_EF,WINTER_EF,SPRING_EF,SUMMER_EF,FALL_EF,ANNUAL_MID,WINTER_MID,SPRING_MID,SUMMER_MID,FALL_MID,ANNUAL_NC,WINTER_NC,SPRING_NC,SUMMER_NC,FALL_NC
2008,-0.12809,-0.21676,-0.1358,-0.13096,-0.02884,-0.0428,-0.05985,-0.1096,-0.11054,0.10878,0.00482,0.13324,0.05711,-0.13088,-0.04016,-0.00526,-0.05074,-0.02792,-0.11895,0.17658,-0.09954,-0.21044,-0.08505,-0.06139,-0.04129,-0.14158,-0.15716,-0.13374,-0.16025,-0.11516
2009,-0.04331,-0.04913,0.00973,-0.04095,-0.0929,0.08448,0.19152,0.18207,0.15976,-0.19542,0.10378,0.16712,0.1759,0.17464,-0.10254,0.0118,-0.00353,0.0071,0.01149,0.03214,0.00174,0.04178,0.09843,-0.00621,-0.12703,-0.06331,-0.06799,-0.0636,-0.04844,-0.07322
2010,0.05879,0.16918,0.11136,-0.04609,0.00069,0.14233,0.31003,0.32948,-0.11204,0.04184,0.17452,0.20526,0.41218,0.13004,-0.04939,-0.05514,0.11541,0.04287,-0.10384,-0.27498,0.05942,0.1642,0.12241,-0.06984,0.02092,0.07167,0.11815,0.10427,-0.00253,0.06679
2011,-0.13437,-0.14282,-0.14818,-0.12606,-0.12042,-0.08906,-0.04653,-0.21796,-0.22473,0.13298,0.01395,0.16706,0.06075,-0.1886,0.01658,-0.31628,-0.34383,-0.38657,-0.31448,-0.22025,-0.15225,-0.25453,-0.10907,-0.19881,-0.0466,-0.03146,0.02642,-0.04745,-0.05556,-0.04927
2012,-0.14226,-0.29804,-0.19647,-0.00216,-0.07239,-0.09335,-0.09817,-0.3679,0.0841,0.00859,-0.0306,0.06293,-0.28852,-0.01833,0.12151,-0.14184,-0.23123,-0.28378,0.03032,-0.08266,-0.13967,-0.30687,-0.267,0.02374,-0.00853,-0.08666,-0.15237,-0.07975,-0.05669,-0.05782
2013,-0.07082,-0.20873,0.01105,0.03561,-0.12122,-0.01789,-0.18159,-0.01788,0.20415,-0.07622,-0.03218,-0.19743,0.01178,0.17334,-0.1164,-0.08448,-0.21507,0.04372,-0.15581,-0.01076,-0.06851,-0.23424,-0.03287,0.07075,-0.07765,-0.04802,-0.10127,0.00969,0.01452,-0.11502
2014,-0.0497,-0.11893,0.04013,-0.04431,-0.0757,-0.29765,-0.17782,-0.18988,-0.30147,-0.52141,-0.28101,-0.1502,-0.24526,-0.47293,-0.25565,-0.12193,-0.13401,-0.00982,-0.13421,-0.20966,-0.06051,-0.15613,-0.01645,-0.00832,-0.06114,-0.01739,-0.04072,0.0529,-0.04839,-0.03336
2015,0.04168,0.07888,0.00711,-0.01098,0.0917,-0.20963,-0.16704,-0.33537,-0.32499,-0.01113,-0.12979,-0.21635,-0.3762,-0.11316,0.18654,0.01075,0.09584,0.02045,-0.05434,-0.01897,-0.01559,0.01469,-0.06963,-0.10803,0.10062,0.0321,0.01561,0.01418,0.03864,0.05994
2016,0.1443,0.249,0.16018,0.05878,0.10926,0.13545,0.21881,0.17879,0.06141,0.08278,0.11948,0.15814,-0.0231,0.16511,0.17777,-0.00886,0.0836,0.01042,-0.08902,-0.04043,0.14544,0.26872,0.15374,0.04806,0.11123,0.1027,0.12916,0.10728,0.07768,0.09669
2017,0.03163,0.04647,-0.0109,0.02422,0.06673,0.02966,-0.02406,-0.16214,0.07458,0.23026,0.04509,0.01731,-0.08504,0.0312,0.21688,-0.00249,-0.04266,-0.25254,-0.00316,0.28842,0.00593,0.03709,0.04375,-0.03193,-0.0252,0.01853,0.02098,-0.00703,0.06271,-0.00254
2018,0.02469,-0.00665,-0.08576,0.04296,0.14822,0.0867,0.04366,-0.06672,0.22283,0.14705,0.08916,0.00318,-0.00105,0.23054,0.12396,0.08058,0.13544,0.08039,0.09381,0.0127,-0.02545,-0.11272,-0.19076,0.02224,0.17943,0.01496,-0.0266,-0.02863,0.04762,0.06745
2019,0.07903,0.20709,0.10844,0.05472,-0.05412,0.06294,0.24773,0.05308,-0.0778,0.02876,-0.06969,0.01858,-0.14447,-0.16017,0.0073,-0.004,0.15112,-0.0077,-0.10714,-0.05226,0.04736,0.18208,0.08705,-0.00885,-0.07082,0.05842,0.08056,0.07365,0.08543,-0.00598
2020,0.09847,0.07404,0.16373,0.08326,0.07284,-0.02511,-0.11187,-0.01191,0.14969,-0.12636,-0.08302,-0.08956,-0.11308,0.0432,-0.17264,0.06194,0.07339,0.12032,0.01924,0.03482,0.11969,0.11114,0.18084,0.11819,0.06858,-0.00158,-0.04474,-0.01262,0.02732,0.02371
2021,0.13182,0.21407,0.17327,0.07437,0.01532,-0.05796,0.09987,-0.00012,0.02823,-0.80574,-0.14117,0.114,-0.29119,-0.05122,-0.47126,0.07963,0.14599,0.11787,0.05076,-0.08121,0.09117,0.18528,0.14534,0.02725,-0.06778,0.08462,0.13074,0.08244,0.06844,0.04743
